2022-06-04 22:45:30.064 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-06-04 22:45:30.064 [main] INFO  com.whalefall.learncases.valid.customvalid.Tester - Starting Tester using Java 1.8.0_212 on DESKTOP-8EFCN0M with PID 3820 (started by chenglong in C:\Users\chenglong\Desktop\learncases)
2022-06-04 22:45:30.064 [main] INFO  com.whalefall.learncases.valid.customvalid.Tester - No active profile set, falling back to 1 default profile: "default"
2022-06-04 22:45:31.311 [main] INFO  c.w.learncases.exception.ExceptionConfiguration - Creating SimpleMappingExceptionResolver
2022-06-04 22:45:32.402 [main] INFO  o.s.b.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2022-06-04 22:45:32.403 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2022-06-04 22:45:32.404 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 1 ms
2022-06-04 22:45:32.428 [main] INFO  com.whalefall.learncases.valid.customvalid.Tester - Started Tester in 3.118 seconds (JVM running for 5.227)
2022-06-04 22:46:30.485 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-06-04 22:46:30.501 [main] INFO  com.whalefall.learncases.valid.customvalid.Tester - Starting Tester using Java 1.8.0_212 on DESKTOP-8EFCN0M with PID 2688 (started by chenglong in C:\Users\chenglong\Desktop\learncases)
2022-06-04 22:46:30.516 [main] INFO  com.whalefall.learncases.valid.customvalid.Tester - No active profile set, falling back to 1 default profile: "default"
2022-06-04 22:46:31.829 [main] INFO  c.w.learncases.exception.ExceptionConfiguration - Creating SimpleMappingExceptionResolver
2022-06-04 22:46:33.186 [main] INFO  o.s.b.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2022-06-04 22:46:33.194 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2022-06-04 22:46:33.194 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 0 ms
2022-06-04 22:46:33.227 [main] INFO  com.whalefall.learncases.valid.customvalid.Tester - Started Tester in 3.478 seconds (JVM running for 5.532)
2022-06-04 22:46:45.195 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-06-04 22:46:45.211 [main] INFO  com.whalefall.learncases.LearncasesApplication - Starting LearncasesApplication using Java 1.8.0_212 on DESKTOP-8EFCN0M with PID 1220 (C:\Users\chenglong\Desktop\learncases\target\classes started by chenglong in C:\Users\chenglong\Desktop\learncases)
2022-06-04 22:46:45.211 [main] INFO  com.whalefall.learncases.LearncasesApplication - No active profile set, falling back to 1 default profile: "default"
2022-06-04 22:46:46.499 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-06-04 22:46:46.499 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-06-04 22:46:46.499 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
